abandoned_at_ordering,abandoned_at_seating,average_ordering_wait_time,average_wait_time,description,kind,longest_queue_length,max_queue_length_queue_1_2,max_queue_length_queue_3_4,max_queue_length_queue_5plus,max_queue_length_queue_all,max_wait_time,min_wait_time,output_file,pair_id,peak_ordering_queue_length,peak_seating_queue_length,rejected_groups,reservation_groups_served,reservation_no_shows,reservation_tables_released,run_id,scenario_file,seed,served_groups,server_utilization_rate,service_level_rate,table_utilization_rate,table_utilization_size_2,table_utilization_size_4,table_utilization_size_6
0.0,21.0,0.18181818181818182,16.363636363636363,Reservation policy x table scarcity.,factorial,12.0,6.0,3.0,7.0,,56.0,4.0,outputs/v2/F5/F5_C_seed999.txt,F5,1.0,12.0,21.0,0.0,0.0,0.0,C,outputs/v2/F5/F5_C_seed999.json,999,11.0,0.15194610778443113,0.8181818181818182,0.48315868263473055,0.35728542914171657,0.5658682634730539,0.5479041916167665
0.0,21.0,0.0,13.909090909090908,Reservation policy x table scarcity.,factorial,12.0,7.0,3.0,7.0,,50.0,0.0,outputs/v2/F5/F5_D_seed999.txt,F5,0.0,11.0,21.0,4.0,0.0,0.0,D,outputs/v2/F5/F5_D_seed999.json,999,11.0,0.11356707317073171,0.8181818181818182,0.4919969512195122,0.3638211382113821,0.5762195121951219,0.5579268292682927
0.0,13.0,0.1111111111111111,10.074074074074074,Strategy x queue type.,factorial,12.0,,,,12.0,23.0,2.0,outputs/v2/F6/F6_A_seed42.txt,F6,1.0,12.0,13.0,0.0,0.0,0.0,A,outputs/v2/F6/F6_A_seed42.json,42,27.0,0.2193877551020408,0.8888888888888888,0.6550235478806907,0.6918367346938775,0.641156462585034,0.6045918367346939
0.0,14.0,0.07692307692307693,8.5,Strategy x queue type.,factorial,13.0,,,,13.0,21.0,2.0,outputs/v2/F6/F6_B_seed42.txt,F6,1.0,13.0,14.0,0.0,0.0,0.0,B,outputs/v2/F6/F6_B_seed42.json,42,26.0,0.21182266009852216,0.9615384615384616,0.6191739295187572,0.6472906403940887,0.6075533661740559,0.583743842364532
0.0,13.0,0.1111111111111111,10.074074074074074,Strategy x queue type.,factorial,12.0,8.0,5.0,1.0,,23.0,2.0,outputs/v2/F6/F6_C_seed42.txt,F6,1.0,12.0,13.0,0.0,0.0,0.0,C,outputs/v2/F6/F6_C_seed42.json,42,27.0,0.2193877551020408,0.8888888888888888,0.6550235478806907,0.6918367346938775,0.641156462585034,0.6045918367346939
0.0,14.0,0.07692307692307693,8.5,Strategy x queue type.,factorial,13.0,9.0,4.0,1.0,,21.0,2.0,outputs/v2/F6/F6_D_seed42.txt,F6,1.0,13.0,14.0,0.0,0.0,0.0,D,outputs/v2/F6/F6_D_seed42.json,42,26.0,0.21182266009852216,0.9615384615384616,0.6191739295187572,0.6472906403940887,0.6075533661740559,0.583743842364532
0.0,18.0,0.22727272727272727,8.227272727272727,Strategy x queue type.,factorial,16.0,,,,15.0,34.0,2.0,outputs/v2/F6/F6_A_seed123.txt,F6,1.0,15.0,18.0,0.0,0.0,0.0,A,outputs/v2/F6/F6_A_seed123.json,123,22.0,0.2167577413479053,0.8636363636363636,0.6002522068095839,0.7224043715846995,0.5327868852459017,0.4972677595628415
0.0,18.0,0.2727272727272727,7.590909090909091,Strategy x queue type.,factorial,16.0,,,,15.0,24.0,2.0,outputs/v2/F6/F6_B_seed123.txt,F6,1.0,15.0,18.0,0.0,0.0,0.0,B,outputs/v2/F6/F6_B_seed123.json,123,22.0,0.2167577413479053,0.8636363636363636,0.5939470365699874,0.7224043715846995,0.5255009107468124,0.4781420765027322
0.0,18.0,0.22727272727272727,8.227272727272727,Strategy x queue type.,factorial,16.0,8.0,6.0,2.0,,34.0,2.0,outputs/v2/F6/F6_C_seed123.txt,F6,1.0,15.0,18.0,0.0,0.0,0.0,C,outputs/v2/F6/F6_C_seed123.json,123,22.0,0.2167577413479053,0.8636363636363636,0.6002522068095839,0.7224043715846995,0.5327868852459017,0.4972677595628415
0.0,18.0,0.2727272727272727,7.590909090909091,Strategy x queue type.,factorial,16.0,8.0,6.0,2.0,,24.0,2.0,outputs/v2/F6/F6_D_seed123.txt,F6,1.0,15.0,18.0,0.0,0.0,0.0,D,outputs/v2/F6/F6_D_seed123.json,123,22.0,0.2167577413479053,0.8636363636363636,0.5939470365699874,0.7224043715846995,0.5255009107468124,0.4781420765027322
